songLabel,releaseDate,artistLabel
Get It,1987,Stevie Wonder
Girl Gone Wild,2012,Madonna
Superstar,2012,Madonna
Really Love You,1997,Paul McCartney
Master of Puppets,1986,Metallica
...And Justice for All,1988,Metallica
Working on the Highway,1984,Bruce Springsteen
Express Yourself,1989,Madonna
Open Your Heart,1986,Madonna
Miles Away,2008,Madonna
Vision of Love,1990,Mariah Carey
Rita May,1977,Bob Dylan
So Good,2012,B.o.B
Wonderful Tonight,1977,Eric Clapton
Back Off Boogaloo,1972,Ringo Starr
Redemption Song,1980,Bob Marley
Toss It Up,1996,Tupac Shakur
Fools Gold/What the World Is Waiting For,1989,The Stone Roses
Shame,2006,Monrose
You Are Not Alone,1995,Michael Jackson
You Rock My World,2001,Michael Jackson
"Hey Hey, My My (Into the Black)",1979,Neil Young
All Good Things (Come to an End),2006,Nelly Furtado
Allez Ola Olé,2010,Jessy Matador
Carry Me in Your Dreams,2009,Kejsi Tola
Monkey,1988,George Michael
Lay Down Sally,1977,Eric Clapton
Space Oddity,1969,David Bowie
My Life,2012,50 Cent
Give Me All Your Luvin',2012,Madonna
Superstition,1972,Stevie Wonder
All About Us,2005,t.A.T.u.
All the Things She Said,2002,t.A.T.u.
Instant Karma!,1970,John Lennon
All for You,2001,Janet Jackson
Young Love,1982,Janet Jackson
Alive,1972,Bee Gees
Get Up Sex Machine,1970,James Brown
The World Tonight,1997,Paul McCartney
Hot Love,1971,T. Rex
Sexy Bitch,2009,David Guetta
Step Inside Love,1996,Cilla Black
After the Love,2009,R.I.O.
I Wanna Be Down,1994,Brandy
Afrodisiac,2004,Brandy
My Michelle,1987,Guns N' Roses
Wannabe,1996,Spice Girls
Ashes to Ashes,1980,David Bowie
Party in the U.S.A.,2009,Miley Cyrus
Breathe,1998,Kylie Minogue
My Love,2008,Céline Dion
We Are the World 25 for Haiti,2010,Céline Dion
When Love Takes Over,2009,David Guetta
Business,2003,Eminem
Lucky,2000,Britney Spears
Piece of Me,2007,Britney Spears
Born to Make You Happy,1999,Britney Spears
Do Somethin',2005,Britney Spears
From the Bottom of My Broken Heart,1999,Britney Spears
Role Model,1999,Eminem
I'm So Lonesome I Could Cry,1949,Hank Williams
I Can Only Imagine,2012,David Guetta
Who's That Chick?,2010,David Guetta
Play Hard,2013,David Guetta
I Wanna Go Crazy,2009,David Guetta
Where Them Girls At,2011,David Guetta
Suicide Is Painless,1970,Johnny Mandel
Secrets,2009,OneRepublic
Run Baby Run,1978,Amanda Lear
Still D.R.E.,1999,Snoop Dogg
Cream,1991,Prince
Taken by a Stranger,2011,Lena Meyer-Landrut
Vamos a la Playa,1983,Righeira
Rockin' All Over the World,1975,John Fogerty
My Life,2012,Eminem
On a Plain,1991,Nirvana
Slow,2003,Kylie Minogue
All the Lovers,2010,Kylie Minogue
Circus,2008,Britney Spears
I Can Only Imagine,2012,Lil Wayne
Out from Under,2009,Britney Spears
Did It On'em,2011,Nicki Minaj
The Show Must Go On,1991,Queen
Pain Is So Close to Pleasure,1986,Queen
I Want It All,1989,Queen
Another One Bites the Dust,1980,Queen
Follow My Lead,2008,50 Cent
Since I Met You Baby,1956,Ivory Joe Hunter
Photograph,1973,Ringo Starr
Still D.R.E.,1999,Dr. Dre
Cave,1999,Muse
Smile,2011,Avril Lavigne
Sk8er Boi,2002,Avril Lavigne
Complicated,2002,Avril Lavigne
Gonna Get This,2010,Miley Cyrus
Runaway Train,1992,Elton John
I treni di Tozeur,1984,Franco Battiato
H•A•M,2011,Kanye West
H•A•M,2011,Kanye West
Breakaway,2004,Kelly Clarkson
